Prices,calories,protein,carbs,fat,nutrition_score
411.0,611,28,48,18,47.6
366.0,352,17,58,24,21.6
330.0,492,25,56,23,38.2
259.0,407,17,37,17,24.4
527.0,446,17,49,17,26.8
330.0,412,19,54,18,30.8
529.66,365,18,45,13,32.0
440.0,617,21,45,13,38.0
364.0,677,29,36,13,52.2
456.0,409,20,40,16,32.0
445.0,380,29,36,14,51.2
529.66,652,15,50,18,22.0
320.0,473,27,45,12,51.0
512.0,496,21,65,17,38.0
366.0,488,17,35,18,23.0
346.0,376,20,64,14,38.8
529.66,469,16,62,23,21.4
529.66,660,26,35,19,40.0
289.0,434,24,30,18,36.0
299.0,475,24,39,22,33.8
289.0,450,18,47,16,29.4
289.0,545,23,30,12,40.0
299.0,610,22,65,13,44.0
299.0,431,29,58,22,47.6
299.0,687,17,62,17,29.4
299.0,485,21,43,10,40.6
529.66,554,18,34,19,23.8
359.0,448,17,37,15,26.4
375.0,376,15,43,18,20.6
328.0,392,16,52,16,26.4
328.0,425,28,43,16,48.6
328.0,698,20,52,12,38.4
328.0,614,29,40,24,42.0
338.0,636,23,67,22,37.4
338.0,378,22,38,13,38.6
335.0,388,23,49,10,45.8
329.0,639,29,66,23,48.2
431.0,638,24,69,24,37.8
452.0,499,24,61,19,41.2
454.0,432,26,30,24,34.0
452.0,567,17,59,21,24.8
453.0,433,21,58,18,35.6
466.0,376,16,48,13,28.6
462.0,351,28,45,16,49.0
462.0,458,28,54,21,45.8
453.0,691,29,32,11,53.4
445.0,394,21,37,21,28.4
456.0,491,23,64,14,44.8
447.0,497,18,42,21,23.4
457.0,391,18,59,16,31.8
456.0,644,19,47,18,29.4
447.0,618,17,66,20,27.200000000000003
456.0,540,15,61,20,22.200000000000003
457.0,485,16,39,11,28.8
440.0,531,26,60,13,51.0
411.0,358,18,65,23,26.0
512.0,425,27,40,22,40.0
529.66,375,22,36,17,34.2
529.66,364,17,45,20,23.0
512.0,353,19,38,11,34.6
512.0,560,28,64,10,58.8
529.0,459,24,48,10,47.6
513.0,597,20,58,12,39.6
529.66,392,21,36,11,38.2
527.0,527,28,69,24,45.8
529.66,665,17,41,13,29.200000000000003
366.0,358,15,53,18,22.6
366.0,595,28,51,24,42.2
366.0,468,17,53,12,32.6
376.0,487,27,46,23,40.2
529.66,554,29,54,12,56.8
529.66,696,23,49,14,41.8
346.0,664,19,52,23,25.4
355.0,387,17,56,22,23.200000000000003
366.0,409,15,37,24,13.4
366.0,403,26,58,18,45.6
364.0,590,23,33,23,29.6
366.0,565,18,62,21,27.4
366.0,468,22,57,14,41.4
529.66,468,29,60,15,55.0
408.0,383,15,35,15,22.0
408.0,697,23,64,15,43.8
408.0,628,23,44,24,30.8
408.0,547,24,38,16,39.6
425.0,475,19,62,13,37.4
529.66,666,15,37,11,26.4
529.66,518,15,45,11,28.0
408.0,476,29,32,21,43.4
529.66,619,19,56,19,30.200000000000003
529.66,594,17,47,17,26.4
529.66,582,29,36,17,48.2
529.66,507,25,59,24,37.8
529.66,582,26,63,10,54.6
529.66,451,21,62,24,30.4
529.66,604,21,57,15,38.4
529.66,467,24,65,21,40.0
529.66,441,15,42,12,26.4
529.66,678,20,36,21,26.2
529.66,495,26,52,10,52.4
529.66,554,21,65,22,33.0
529.66,449,22,62,20,36.4
529.66,351,23,38,16,37.6
529.66,638,24,49,14,43.8
529.66,616,23,33,20,32.6
529.66,516,28,52,22,44.4
529.66,633,25,45,19,40.0
529.66,679,18,33,20,22.6
529.66,687,24,36,15,40.2
529.66,510,27,68,13,54.6
529.66,444,19,59,16,33.8
529.66,609,16,60,18,26.0
529.66,603,18,68,19,30.6
228.0,415,22,35,17,34.0
239.0,358,21,61,12,42.2
375.0,603,19,32,15,29.4
400.0,601,26,36,21,38.2
239.0,653,20,56,15,36.2
308.0,630,22,46,11,42.2
320.0,420,24,39,19,36.8
320.0,566,21,59,14,39.8
280.0,564,23,52,19,37.4
297.0,610,27,67,15,52.4
331.0,374,17,34,17,23.8
295.0,471,20,50,12,38.0
350.0,509,28,60,23,45.0
443.0,586,28,60,10,58.0
400.0,612,25,48,23,36.6
320.0,452,22,39,16,35.8
249.0,451,24,41,12,44.2
255.0,449,29,53,17,51.6
320.0,608,27,33,20,40.6
280.0,406,17,60,18,28.0
268.0,606,21,44,17,33.8
259.0,591,17,31,17,23.2
529.66,437,21,69,23,32.8
334.0,483,28,59,23,44.8
262.0,563,26,49,22,39.8
343.0,445,16,62,13,31.4
329.0,384,20,49,13,36.8
262.0,498,18,56,11,36.2
239.0,517,22,63,19,37.6
280.0,613,16,65,17,28.0
331.0,436,24,35,19,36.0
320.0,551,21,34,11,37.8
475.0,542,25,53,24,36.6
320.0,375,23,38,13,40.6
375.0,691,17,43,12,30.6
305.0,694,22,64,16,40.8
291.0,544,17,46,20,23.200000000000003
249.0,495,19,47,11,36.4
320.0,443,28,55,17,50.0
349.0,436,16,39,10,29.8
295.0,532,16,53,13,29.6
320.0,475,21,62,16,38.4
320.0,361,19,36,24,21.2
500.0,373,25,30,16,40.0
320.0,498,17,64,20,26.8
303.0,470,18,66,24,25.200000000000003
500.0,581,17,58,23,22.6
325.0,582,29,60,17,53.0
320.0,610,18,41,15,29.200000000000003
285.0,629,17,64,14,32.8
259.0,495,25,30,22,34.0
77.0,415,15,41,13,25.200000000000003
55.0,662,26,50,23,39.0
55.0,396,29,37,21,44.4
55.0,569,22,52,13,41.4
92.0,469,23,49,17,38.8
55.0,363,23,41,22,32.2
55.0,501,24,63,22,38.6
55.0,535,19,53,10,38.6
159.0,640,20,30,17,29.0
55.0,453,18,34,16,26.8
320.0,511,29,44,15,51.8
320.0,585,29,44,13,53.8
330.0,573,18,32,23,19.4
330.0,623,22,65,21,36.0
330.0,595,29,49,11,56.8
330.0,495,22,45,14,39.0
300.0,449,23,38,12,41.6
330.0,384,15,37,13,24.4
55.0,564,23,67,15,44.4
79.0,420,16,47,13,28.4
119.0,551,27,39,14,47.8
99.0,528,20,50,16,34.0
100.0,428,26,34,11,47.8
65.0,487,29,57,19,50.4
55.0,504,20,57,12,39.4
60.0,430,26,68,24,41.6
55.0,499,18,43,24,20.6
55.0,428,29,63,18,52.6
55.0,363,18,54,14,32.8
104.0,374,24,58,18,41.6
100.0,549,23,47,15,40.4
159.0,484,23,69,15,44.8
55.0,602,29,35,16,49.0
65.0,456,15,53,24,16.6
65.0,568,27,59,24,41.8
55.0,411,26,31,11,47.2
65.0,518,24,30,15,39.0
55.0,574,22,40,20,32.0
55.0,686,28,57,15,52.4
311.0,352,24,42,13,43.4
299.0,636,24,49,24,33.8
219.0,626,21,42,15,35.4
311.0,427,24,48,14,43.6
230.0,477,20,41,14,34.2
299.0,559,15,47,21,18.4
414.0,416,27,45,14,49.0
230.0,641,27,59,11,54.8
344.0,461,17,56,16,29.200000000000003
345.0,576,22,60,23,33.0
242.0,618,28,45,10,55.0
265.0,583,19,65,24,27.0
276.0,373,23,36,23,30.2
230.0,672,20,55,15,36.0
288.0,659,20,62,11,41.4
311.0,638,20,68,16,37.6
299.0,390,18,64,17,31.8
311.0,443,19,55,11,38.0
288.0,361,27,67,16,51.4
276.0,400,19,67,19,32.4
345.0,693,21,65,16,39.0
299.0,687,23,31,22,30.2
529.66,482,29,57,21,48.4
334.0,380,20,39,17,30.8
380.0,405,16,67,14,31.4
253.0,605,28,56,13,54.2
288.0,606,24,65,13,48.0
55.0,600,20,61,24,28.200000000000003
380.0,499,15,36,20,17.2
55.0,486,16,33,10,28.6
276.0,410,28,62,23,45.4
288.0,651,19,31,10,34.2
265.0,470,26,59,24,39.8
265.0,452,23,31,11,41.2
276.0,508,15,50,11,29.0
265.0,425,22,51,19,35.2
265.0,419,15,60,15,27.0
276.0,484,16,46,14,27.200000000000003
265.0,576,20,57,11,40.4
288.0,624,21,49,14,37.8
165.0,665,23,48,20,35.6
230.0,510,19,66,12,39.2
230.0,691,16,38,10,29.6
220.0,496,18,48,23,22.6
207.0,530,16,57,17,26.4
184.0,496,28,41,11,53.2
230.0,469,16,42,24,16.4
288.0,532,28,48,16,49.6
276.0,488,23,63,23,35.6
265.0,380,20,32,19,27.4
253.0,535,20,34,11,35.8
242.0,447,19,32,14,30.4
380.0,633,21,43,10,40.6
449.0,531,23,53,24,32.6
322.0,417,19,36,16,29.2
311.0,482,26,54,16,46.8
334.0,371,23,64,16,42.8
311.0,513,20,69,15,38.8
529.66,587,23,39,20,33.8
300.0,558,20,59,10,41.8
161.0,492,28,40,20,44.0
150.0,504,17,42,24,18.4
299.0,385,27,30,16,44.0
357.0,530,28,37,12,51.4
311.0,355,22,42,12,40.4
322.0,673,24,55,11,48.0
161.0,511,17,53,17,27.6
150.0,487,24,47,16,41.4
150.0,368,17,59,16,29.8
150.0,453,25,40,24,34.0
426.0,586,25,49,13,46.8
322.0,681,16,47,21,20.4
345.0,401,18,34,15,27.8
299.0,486,21,57,10,43.4
437.0,638,29,40,20,46.0
150.0,547,28,33,13,49.6
529.66,623,15,53,14,26.6
230.0,613,22,48,22,31.6
322.0,553,22,30,20,30.0
150.0,588,28,55,23,44.0
150.0,387,23,67,15,44.4
426.0,352,28,33,16,46.6
311.0,495,28,56,20,47.2
173.0,481,17,65,12,35.0
173.0,653,29,55,19,50.0
288.0,569,23,47,20,35.4
322.0,663,17,38,20,21.6
437.0,558,26,59,15,48.8
414.0,462,18,55,20,27.0
380.0,567,15,69,13,30.8
311.0,436,19,39,23,22.8
299.0,401,18,63,12,36.6
196.0,437,25,60,11,51.0
207.0,446,19,68,19,32.6
207.0,418,22,41,10,42.2
207.0,678,21,58,18,35.6
184.0,512,26,55,16,47.0
242.0,365,20,44,16,32.8
288.0,501,26,48,17,44.6
219.0,352,19,61,14,36.2
60.0,355,22,38,17,34.6
345.0,662,29,44,12,54.8
299.0,639,17,60,19,27.0
276.0,587,29,62,12,58.4
288.0,544,18,55,23,24.0
276.0,402,25,49,21,38.8
230.0,466,19,62,11,39.4
299.0,532,18,37,11,32.4
230.0,523,20,42,24,24.4
184.0,459,29,61,12,58.2
529.66,506,17,42,14,28.4
219.0,576,18,47,17,28.4
161.0,434,20,53,13,37.6
311.0,623,17,65,13,34.0
345.0,388,23,62,19,39.4
334.0,672,21,69,21,34.8
230.0,607,22,49,11,42.8
311.0,381,24,48,14,43.6
288.0,451,24,46,11,46.2
334.0,644,17,35,17,24.0
288.0,491,28,43,13,51.6
345.0,363,19,65,21,30.0
288.0,593,21,67,11,44.4
299.0,676,20,34,23,23.8
288.0,372,16,34,11,27.8
322.0,572,25,44,13,45.8
299.0,642,28,44,19,45.8
290.0,427,29,43,11,55.6
288.0,415,22,37,23,28.4
311.0,636,29,36,18,47.2
255.0,374,17,51,19,25.200000000000003
288.0,543,23,58,19,38.6
299.0,484,28,48,15,50.6
380.0,637,16,59,11,32.8
299.0,691,17,34,19,21.8
322.0,624,21,40,21,29.0
255.0,582,21,65,14,41.0
240.0,652,26,39,20,39.8
288.0,671,21,50,16,36.0
334.0,569,19,58,14,35.6
334.0,688,29,51,16,52.2
299.0,552,15,43,23,15.6
345.0,431,19,30,14,30.0
299.0,371,28,51,13,53.2
127.0,432,26,47,19,42.4
138.0,472,25,41,17,41.2
150.0,401,23,64,11,47.8
207.0,660,22,62,19,37.4
184.0,407,15,35,24,13.0
184.0,605,22,51,12,42.2
184.0,597,25,44,12,46.8
253.0,358,29,40,19,47.0
230.0,682,27,41,14,48.2
242.0,551,26,64,17,47.8
253.0,655,18,33,20,22.6
161.0,372,16,50,15,27.0
253.0,566,21,55,19,34.0
184.0,404,20,41,13,35.2
173.0,373,22,47,15,38.4
260.0,529,16,58,21,22.6
253.0,537,24,67,14,47.4
253.0,544,16,31,10,28.2
253.0,640,22,52,18,36.4
276.0,550,19,48,14,33.6
253.0,678,22,44,20,32.8
265.0,665,21,69,21,34.8
253.0,378,19,52,11,37.4
253.0,541,28,69,13,56.8
253.0,440,23,30,20,32.0
276.0,421,21,35,18,31.0
150.0,510,29,40,19,47.0
230.0,677,18,31,22,20.2
210.0,689,16,41,13,27.200000000000003
200.0,669,27,45,16,47.0
253.0,531,15,67,20,23.4
207.0,634,18,60,17,31.0
242.0,505,18,59,18,29.8
242.0,460,24,50,15,43.0
253.0,376,17,65,17,30.0
242.0,639,15,31,18,18.2
276.0,675,19,50,21,27.0
242.0,355,25,62,23,39.4
276.0,652,24,48,13,44.6
253.0,391,22,57,23,32.4
253.0,528,17,39,19,22.8
299.0,569,29,32,13,51.4
265.0,482,17,63,14,32.6
69.0,509,22,32,24,26.4
81.0,561,18,44,17,27.8
55.0,355,21,66,17,38.2
92.0,578,26,38,23,36.6
81.0,549,24,57,13,46.4
58.0,582,26,40,24,36.0
69.0,687,22,57,24,31.4
58.0,643,18,35,20,23.0
55.0,641,23,37,13,40.4
55.0,452,24,68,22,39.6
173.0,558,29,51,20,48.2
55.0,679,15,68,15,28.6
55.0,549,24,60,22,38.0
55.0,584,25,43,21,37.6
265.0,361,21,60,23,31.0
322.0,390,21,45,16,35.0
173.0,542,28,56,17,50.2
276.0,545,15,52,22,18.4
299.0,691,16,53,19,23.6
299.0,445,18,36,12,31.2
299.0,669,24,38,22,33.6
311.0,517,27,51,12,52.2
529.66,512,20,54,15,35.8
311.0,354,24,57,11,48.4
311.0,581,24,30,12,42.0
219.0,589,24,46,18,39.2
230.0,376,29,64,22,48.8
357.0,612,20,35,14,33.0
127.0,597,16,59,12,31.8
253.0,480,28,60,13,55.0
288.0,458,23,65,14,45.0
529.66,542,23,63,18,40.6
380.0,492,15,43,20,18.6
104.0,405,27,62,20,46.4
230.0,655,19,59,11,38.8
529.66,448,26,38,24,35.6
230.0,578,22,33,22,28.6
115.0,588,23,63,12,46.6
55.0,542,15,51,17,23.200000000000003
161.0,385,15,31,13,23.2
69.0,596,29,64,23,47.8
55.0,394,24,63,13,47.6
138.0,404,19,66,19,32.2
69.0,429,21,30,13,35.0
58.0,455,16,63,13,31.6
104.0,452,20,31,20,26.2
55.0,378,25,65,18,45.0
69.0,528,25,39,16,41.8
81.0,387,23,67,16,43.4
207.0,520,22,54,13,41.8
55.0,459,28,50,15,51.0
115.0,589,27,32,23,37.4
196.0,428,20,41,11,37.2
138.0,417,15,61,20,22.200000000000003
127.0,465,25,56,15,46.2
242.0,675,27,66,18,49.2
184.0,462,22,31,20,30.2
184.0,568,20,39,14,33.8
173.0,606,25,33,11,45.6
184.0,687,15,42,15,23.4
242.0,578,28,44,18,46.8
230.0,684,20,35,17,30.0
161.0,395,28,55,10,57.0
173.0,655,17,50,12,32.0
161.0,617,21,67,10,45.4
173.0,580,20,43,20,28.6
161.0,401,22,47,20,33.4
161.0,606,26,44,18,42.8
161.0,428,25,53,24,36.6
230.0,666,27,38,21,40.6
242.0,384,28,32,22,40.4
253.0,517,21,58,19,34.6
265.0,443,25,49,12,47.8
276.0,537,24,33,10,44.6
322.0,586,21,49,23,28.8
265.0,474,15,51,16,24.200000000000003
311.0,551,25,69,21,42.8
242.0,519,16,61,22,22.200000000000003
276.0,552,28,51,24,42.2
230.0,597,25,67,23,40.4
253.0,427,25,64,15,47.8
299.0,393,27,46,11,52.2
250.0,431,19,47,22,25.4
288.0,468,15,67,22,21.4
299.0,560,26,53,17,45.6
299.0,543,23,51,20,36.2
334.0,388,22,61,17,39.2
334.0,659,26,44,15,45.8
288.0,607,15,44,21,17.8
276.0,688,28,54,18,48.8
311.0,561,20,55,15,36.0
334.0,527,17,49,20,23.8
288.0,381,21,33,15,33.6
322.0,637,16,63,22,22.6
357.0,493,15,45,22,17.0
288.0,561,17,54,24,20.8
311.0,610,26,57,17,46.4
350.0,642,25,30,19,37.0
311.0,516,15,64,16,26.8
299.0,450,28,37,24,39.4
253.0,651,15,60,12,30.0
299.0,627,29,42,13,53.4
230.0,371,23,65,10,49.0
230.0,440,23,64,18,40.8
253.0,351,22,54,23,31.8
265.0,618,25,42,15,43.4
288.0,458,24,68,14,47.6
253.0,512,29,50,14,54.0
242.0,533,17,31,14,26.2
253.0,658,21,60,13,41.0
265.0,411,21,64,14,40.8
344.0,526,17,32,15,25.4
184.0,515,18,47,23,22.4
368.0,351,23,45,18,37.0
380.0,498,17,36,24,17.2
322.0,417,24,37,16,39.4
334.0,653,25,35,19,38.0
310.0,363,16,42,14,26.4
368.0,510,17,47,17,26.4
242.0,551,18,68,10,39.6
276.0,636,16,30,20,18.0
207.0,619,29,63,14,56.6
207.0,592,28,47,21,44.4
230.0,597,20,41,18,30.200000000000003
242.0,385,27,46,15,48.2
276.0,647,25,30,16,40.0
230.0,613,19,53,21,27.6
219.0,599,28,69,24,45.8
230.0,561,15,54,12,28.8
230.0,477,15,35,12,25.0
299.0,379,27,49,24,39.8
319.0,94,4,28,1,12.6
229.0,130,0,14,3,-0.1999999999999997
209.0,120,2,10,1,5.0
209.0,94,4,9,0,9.8
259.0,197,2,24,2,6.800000000000001
499.0,163,1,13,4,0.6000000000000001
249.0,130,4,12,1,9.4
189.0,66,4,29,0,13.8
259.0,173,4,9,2,7.8
229.0,69,3,6,4,3.2
229.0,51,1,24,0,6.800000000000001
229.0,83,2,14,4,2.8000000000000003
229.0,95,2,23,1,7.6
99.0,163,1,15,3,2.0
319.0,157,2,15,2,5.0
479.0,107,2,26,2,7.2
529.66,180,3,18,4,5.6
339.0,80,4,9,2,7.8
499.0,100,4,27,2,11.4
159.0,138,2,23,4,4.6000000000000005
159.0,115,2,8,2,3.6
169.0,139,0,17,3,0.4000000000000003
169.0,97,3,8,2,5.6
189.0,141,2,11,2,4.2
209.0,90,1,29,2,5.800000000000001
229.0,121,1,20,2,4.0
229.0,89,2,7,1,4.4
229.0,197,0,16,1,2.2
229.0,50,4,25,0,13.0
249.0,140,4,16,1,10.2
249.0,194,1,5,4,-1.0
249.0,133,1,24,0,6.800000000000001
209.0,181,3,14,2,6.800000000000001
209.0,178,2,22,0,8.4
209.0,85,3,26,2,9.2
229.0,118,0,15,1,2.0
229.0,177,2,8,2,3.6
229.0,61,4,19,3,8.8
229.0,87,4,29,1,12.8
259.0,116,0,8,2,-0.3999999999999999
259.0,64,2,14,3,3.8
259.0,137,0,25,1,4.0
299.0,128,0,16,0,3.2
219.0,92,1,18,0,5.6
219.0,81,2,23,1,7.6
219.0,92,2,12,2,4.4
219.0,82,2,23,4,4.6000000000000005
249.0,116,0,6,2,-0.7999999999999998
249.0,137,0,21,1,3.2
279.0,94,1,15,3,2.0
279.0,140,1,15,3,2.0
279.0,64,2,19,2,5.800000000000001
279.0,140,0,23,2,2.6000000000000005
179.0,124,4,18,2,9.6
179.0,85,0,17,2,1.4000000000000004
229.0,171,2,5,0,5.0
229.0,120,3,29,3,8.8
299.0,81,2,18,4,3.6
99.0,156,2,21,4,4.2
99.0,197,1,17,0,5.4
99.0,190,2,9,4,1.8
99.0,158,4,29,3,10.8
99.0,69,3,24,2,8.8
89.0,62,2,5,2,3.0
89.0,84,3,26,1,10.2
349.0,158,1,16,0,5.2
349.0,148,0,14,2,0.8000000000000003
55.0,88,1,27,2,5.4
55.0,172,0,21,3,1.2000000000000002
309.52,440,4,56,26,-6.799999999999999
219.05,436,3,64,20,-1.1999999999999993
190.48,460,6,66,19,6.200000000000001
219.05,369,6,68,17,8.600000000000001
238.1,420,6,67,27,-1.5999999999999996
352.38,411,7,47,28,-4.6
309.52,456,7,50,19,5.0
228.57,447,6,46,19,2.200000000000001
228.57,469,4,63,18,2.6000000000000014
190.48,391,3,68,16,3.6000000000000014
180.95,485,6,67,15,10.4
319.05,360,7,45,29,-6.0
209.52,454,4,59,24,-4.199999999999999
319.05,488,7,42,21,1.4000000000000004
319.05,368,7,56,18,7.200000000000001
352.38,437,6,57,20,3.4000000000000004
352.38,446,5,59,23,-1.1999999999999993
171.43,414,4,47,22,-4.6
319.05,453,4,59,29,-9.2
466.67,479,5,64,24,-1.1999999999999993
400.0,386,6,47,25,-3.5999999999999996
190.48,461,3,63,17,1.6000000000000014
352.38,456,4,44,29,-12.2
529.66,401,3,58,21,-3.3999999999999986
219.05,377,3,68,28,-8.399999999999999
161.9,432,6,48,28,-6.399999999999999
61.9,463,7,67,17,10.4
200.0,364,6,48,23,-1.3999999999999986
300.0,421,7,56,27,-1.799999999999999
280.95,482,3,41,25,-10.8
180.95,353,5,65,21,2.0
400.0,475,7,60,26,0.0
352.38,426,4,67,19,2.4000000000000004
352.38,487,3,63,26,-7.399999999999999
319.05,444,3,58,25,-7.399999999999999
352.38,445,3,59,25,-7.199999999999999
309.52,404,3,49,27,-11.2
190.48,420,3,60,19,-1.0
152.38,482,3,57,25,-7.6
180.95,376,5,47,28,-8.6
209.52,432,7,63,29,-2.3999999999999986
171.43,352,3,60,22,-4.0
190.48,399,5,51,29,-8.799999999999999
190.48,416,5,60,24,-2.0
219.05,433,6,64,27,-2.1999999999999993
228.57,382,6,43,17,3.5999999999999996
190.48,485,7,66,15,12.2
238.1,467,3,63,17,1.6000000000000014
190.48,382,3,69,21,-1.1999999999999993
161.9,393,5,55,29,-8.0
180.95,394,3,43,20,-5.4
219.05,364,4,66,20,1.200000000000001
328.57,372,5,40,21,-3.0
280.95,355,7,54,26,-1.1999999999999993
280.95,499,7,57,28,-2.5999999999999996
252.38,472,3,68,24,-4.399999999999999
152.38,394,3,47,22,-6.6
200.0,369,5,67,28,-4.6
252.38,420,7,67,27,0.4000000000000003
252.38,460,4,63,15,5.600000000000001
144.07,421,4,65,17,4.0
144.07,376,5,48,16,3.6000000000000014
144.07,417,7,68,21,6.600000000000001
144.07,463,3,61,26,-7.799999999999999
144.07,473,5,51,22,-1.799999999999999
144.07,425,5,50,21,-1.0
144.07,366,6,65,22,3.0
144.07,490,7,47,16,7.4
529.66,450,4,42,17,-0.5999999999999996
514.29,360,5,51,18,2.200000000000001
485.71,397,3,57,15,2.4000000000000004
466.67,490,7,66,15,12.2
419.05,487,4,65,18,3.0
447.62,442,7,58,18,7.600000000000001
466.67,399,3,58,23,-5.399999999999999
485.71,477,6,67,19,6.4
447.62,467,3,54,18,-1.1999999999999993
447.62,429,4,61,17,3.200000000000001
466.67,383,4,55,20,-1.0
466.67,415,7,40,28,-6.0
466.67,419,6,55,21,2.0
485.71,417,6,63,23,1.6000000000000014
485.71,488,3,43,21,-6.4
514.29,406,5,61,22,0.200000000000001
514.29,369,4,54,29,-10.2
529.66,452,5,62,18,4.4
485.71,499,7,54,16,8.8
447.62,439,4,56,23,-3.799999999999999
514.29,490,5,54,15,5.800000000000001
476.19,464,5,59,26,-4.199999999999999
476.19,401,6,42,23,-2.5999999999999996
476.19,431,6,69,16,9.8
476.19,427,4,53,23,-4.399999999999999
380.95,383,3,53,15,1.6000000000000014
380.95,366,7,46,20,3.200000000000001
380.95,425,4,68,19,2.6000000000000014
380.95,368,4,68,29,-7.399999999999999
380.95,451,7,67,27,0.4000000000000003
380.95,389,7,57,18,7.4
380.95,374,5,47,18,1.4000000000000004
240.0,366,7,44,27,-4.199999999999999
350.0,361,5,57,18,3.4000000000000004
200.0,490,7,50,25,-1.0
300.0,414,6,56,19,4.200000000000001
180.0,403,3,41,25,-10.8
150.0,462,7,44,15,7.800000000000001
152.38,490,4,62,26,-5.6
171.43,364,5,63,28,-5.399999999999999
200.0,387,6,62,19,5.4
219.05,392,6,67,26,-0.5999999999999996
180.95,484,7,59,19,6.800000000000001
161.9,416,7,59,28,-2.1999999999999993
180.95,381,3,68,23,-3.3999999999999986
219.05,473,3,46,15,0.200000000000001
219.05,427,5,56,26,-4.799999999999999
61.9,439,6,59,27,-3.1999999999999993
61.9,435,3,62,25,-6.6
61.9,398,4,43,18,-1.4000000000000004
57.14,403,7,61,25,1.200000000000001
319.05,375,3,68,15,4.600000000000001
352.38,368,7,52,21,3.4000000000000004
319.05,402,4,50,19,-1.0
319.05,399,6,57,15,8.4
380.95,364,4,44,26,-9.2
319.05,359,4,59,17,2.8000000000000007
352.38,488,6,55,15,8.0
352.38,444,5,64,23,-0.1999999999999993
319.05,409,5,46,16,3.200000000000001
352.38,483,4,55,21,-2.0
352.38,444,5,43,26,-7.4
352.38,440,7,62,15,11.4
300.0,472,4,55,24,-5.0
180.95,387,4,56,29,-9.8
180.95,469,3,54,19,-2.1999999999999993
171.43,375,5,66,24,-0.7999999999999989
209.52,365,7,60,19,7.0
285.71,455,7,55,23,2.0
285.71,424,6,46,18,3.200000000000001
285.71,383,4,64,29,-8.2
352.38,481,6,58,22,1.6000000000000014
152.38,421,5,65,27,-4.0
352.38,478,5,65,15,8.0
280.95,350,6,44,28,-7.199999999999999
280.95,430,5,69,15,8.8
352.38,469,6,60,20,4.0
319.05,404,5,63,19,3.6000000000000014
319.05,487,5,52,27,-6.6
380.95,399,3,49,18,-2.1999999999999993
352.38,477,6,61,19,5.200000000000001
319.05,364,5,55,23,-2.0
352.38,487,3,51,20,-3.799999999999999
319.05,365,5,40,15,3.0
352.38,470,4,53,25,-6.399999999999999
352.38,461,4,68,15,6.600000000000001
352.38,423,4,51,18,0.200000000000001
319.05,492,6,56,16,7.200000000000001
300.0,371,6,65,24,1.0
300.0,401,4,62,19,1.4000000000000004
319.05,445,5,61,19,3.200000000000001
352.38,402,6,52,15,7.4
352.38,389,6,57,15,8.4
300.0,396,5,64,16,6.800000000000001
300.0,428,3,61,29,-10.8
300.0,479,4,63,27,-6.399999999999999
300.0,466,4,40,20,-4.0
319.05,406,6,48,24,-2.3999999999999986
300.0,411,6,47,26,-4.6
300.0,467,4,46,21,-3.799999999999999
352.38,475,4,66,26,-4.799999999999999
319.05,494,4,46,27,-9.8
352.38,385,5,44,24,-5.199999999999999
380.95,466,7,42,27,-4.6
419.05,406,3,42,20,-5.6
419.05,459,5,59,19,2.8000000000000007
400.0,456,5,42,25,-6.6
400.0,358,6,56,15,8.200000000000001
400.0,496,3,54,24,-7.199999999999999
400.0,469,4,41,25,-8.799999999999999
400.0,487,3,49,27,-11.2
400.0,354,4,55,21,-2.0
380.95,405,7,61,23,3.200000000000001
380.95,386,6,45,19,2.0
400.0,380,7,64,19,7.800000000000001
480.95,475,3,66,17,2.200000000000001
480.95,391,7,69,17,10.8
319.05,484,4,64,15,5.800000000000001
319.05,430,6,41,15,5.200000000000001
319.05,443,3,67,15,4.4
319.05,353,6,55,29,-6.0
352.38,414,3,63,16,2.6000000000000014
319.05,466,4,44,26,-9.2
352.38,491,7,50,20,4.0
352.38,361,7,69,19,8.8
352.38,454,4,44,20,-3.1999999999999993
352.38,490,3,69,29,-9.2
529.66,432,6,65,28,-3.0
228.57,434,4,66,22,-0.7999999999999989
333.33,396,6,46,15,6.200000000000001
523.81,429,7,56,26,-0.7999999999999989
323.81,356,3,49,16,-0.1999999999999993
476.19,350,6,53,20,2.6000000000000014
107.14,464,7,65,18,9.0
107.14,379,5,57,16,5.4
133.93,432,7,67,24,3.4000000000000004
133.93,366,3,40,24,-10.0
171.43,484,6,49,20,1.8000000000000007
171.43,354,3,43,23,-8.4
171.43,391,5,56,24,-2.799999999999999
238.1,463,6,57,16,7.4
238.1,404,6,65,24,1.0
238.1,488,6,61,15,9.2
238.1,475,4,58,21,-1.3999999999999986
228.57,478,3,46,25,-9.8
261.9,390,3,48,19,-3.3999999999999986
237.29,435,5,52,20,0.4000000000000003
237.29,418,4,46,21,-3.799999999999999
237.29,405,7,56,22,3.200000000000001
237.29,493,5,48,18,1.6000000000000014
237.29,439,6,42,23,-2.5999999999999996
237.29,429,3,50,16,0.0
237.29,444,6,48,23,-1.3999999999999986
237.29,411,5,42,22,-3.5999999999999996
180.95,384,4,52,20,-1.5999999999999996
180.95,489,7,63,18,8.600000000000001
180.95,466,4,60,23,-3.0
180.95,484,3,41,23,-8.799999999999999
114.29,405,3,44,22,-7.199999999999999
114.29,378,3,67,20,-0.5999999999999996
114.29,400,4,53,28,-9.4
